root;node;node_path;depth;parent;parent_path;node_line;edge_call_line;edge_raw_callee
src.iccFs.mF._resolveCliCsvAndOutputFiles._resolveDescriptionXmlPath:resolveDescriptionXmlPath;src.iccFs.mF._resolveCliCsvAndOutputFiles._resolveDescriptionXmlPath:resolveDescriptionXmlPath;src/iccFs/mF/_resolveCliCsvAndOutputFiles/_resolveDescriptionXmlPath.py;0;;;1;;
src.iccFs.mF.convertImage:convertImage;src.iccFs.mF.convertImage:convertImage;src/iccFs/mF/convertImage.py;0;;;1;;
src.iccFs.mF.convertImage:convertImage;src.iccFs.mF.convertRangeFiles._renderEmbeddedRasterSvg:renderEmbeddedRasterSvg;src/iccFs/mF/convertRangeFiles/_renderEmbeddedRasterSvg.py;1;src.iccFs.mF.convertImage:convertImage;src/iccFs/mF/convertImage.py;1;12;renderEmbeddedRasterSvg
src.iccFs.mF.convertImage:convertImage;src.iccFs.mF.convertRangeFiles._loadExistingConversionRowsFiles._sniffRasterSize:sniffRasterSize;src/iccFs/mF/convertRangeFiles/_loadExistingConversionRowsFiles/_sniffRasterSize.py;2;src.iccFs.mF.convertRangeFiles._renderEmbeddedRasterSvg:renderEmbeddedRasterSvg;src/iccFs/mF/convertRangeFiles/_renderEmbeddedRasterSvg.py;1;2;sniffRasterSize
src.iccFs.mF.convertImage:convertImage;src.iccFs.mF.convertRangeFiles._renderEmbeddedRasterSvgFiles._svgHrefMimeType:svgHrefMimeType;src/iccFs/mF/convertRangeFiles/_renderEmbeddedRasterSvgFiles/_svgHrefMimeType.py;2;src.iccFs.mF.convertRangeFiles._renderEmbeddedRasterSvg:renderEmbeddedRasterSvg;src/iccFs/mF/convertRangeFiles/_renderEmbeddedRasterSvg.py;1;5;svgHrefMimeType
src.iccFs.mF.convertImage:convertImage;src.iccFs.mF.imageCompositeConverterCore:detectRelevantRegions;src/iccFs/mF/imageCompositeConverterCore.py;1;src.iccFs.mF.convertImage:convertImage;src/iccFs/mF/convertImage.py;144;18;detectRelevantRegions
src.iccFs.mF.convertImage:convertImage;src.iccFs.mF.imageCompositeConverterRegions:detectRelevantRegionsImpl;src/iccFs/mF/imageCompositeConverterRegions.py;2;src.iccFs.mF.imageCompositeConverterCore:detectRelevantRegions;src/iccFs/mF/imageCompositeConverterCore.py;47;145;detectRelevantRegionsImpl
src.iccFs.mF.convertImage:convertImage;src.iccFs.mF.imageCompositeConverterRegions:expandBbox;src/iccFs/mF/imageCompositeConverterRegions.py;3;src.iccFs.mF.imageCompositeConverterRegions:detectRelevantRegionsImpl;src/iccFs/mF/imageCompositeConverterRegions.py;21;76;expandBbox
src.iccFs.mF.convertImage:convertImage;src.iccFs.mF.imageCompositeConverterRegions:expandBbox;src/iccFs/mF/imageCompositeConverterRegions.py;3;src.iccFs.mF.imageCompositeConverterRegions:detectRelevantRegionsImpl;src/iccFs/mF/imageCompositeConverterRegions.py;21;76;expandBbox
src.iccFs.mF.convertImage:convertImage;src.iccFs.mF.imageCompositeConverterRegions:expandBbox;src/iccFs/mF/imageCompositeConverterRegions.py;3;src.iccFs.mF.imageCompositeConverterRegions:detectRelevantRegionsImpl;src/iccFs/mF/imageCompositeConverterRegions.py;21;76;expandBbox
src.iccFs.mF.convertImage:convertImage;src.iccFs.mF.imageCompositeConverterRegions:bboxToDict;src/iccFs/mF/imageCompositeConverterRegions.py;3;src.iccFs.mF.imageCompositeConverterRegions:detectRelevantRegionsImpl;src/iccFs/mF/imageCompositeConverterRegions.py;31;77;bboxToDict
src.iccFs.mF.convertImage:convertImage;src.iccFs.mF.imageCompositeConverterRegions:bboxToDict;src/iccFs/mF/imageCompositeConverterRegions.py;3;src.iccFs.mF.imageCompositeConverterRegions:detectRelevantRegionsImpl;src/iccFs/mF/imageCompositeConverterRegions.py;31;77;bboxToDict
src.iccFs.mF.convertImage:convertImage;src.iccFs.mF.imageCompositeConverterRegions:bboxToDict;src/iccFs/mF/imageCompositeConverterRegions.py;3;src.iccFs.mF.imageCompositeConverterRegions:detectRelevantRegionsImpl;src/iccFs/mF/imageCompositeConverterRegions.py;31;77;bboxToDict
src.iccFs.mF.convertImage:convertImage;src.iccFs.mF.imageCompositeConverterCore:annotateImageRegions;src/iccFs/mF/imageCompositeConverterCore.py;1;src.iccFs.mF.convertImage:convertImage;src/iccFs/mF/convertImage.py;148;19;annotateImageRegions
src.iccFs.mF.convertImage:convertImage;src.iccFs.mF.imageCompositeConverterRegions:annotateImageRegionsImpl;src/iccFs/mF/imageCompositeConverterRegions.py;2;src.iccFs.mF.imageCompositeConverterCore:annotateImageRegions;src/iccFs/mF/imageCompositeConverterCore.py;114;149;annotateImageRegionsImpl
src.iccFs.mF.convertImageVariants:convertImageVariants;src.iccFs.mF.convertImageVariants:convertImageVariants;src/iccFs/mF/convertImageVariants.py;0;;;1;;
src.iccFs.mF.convertImageVariants:convertImageVariants;src.iccFs.convertRange:convertRange;src/iccFs/convertRange.py;1;src.iccFs.mF.convertImageVariants:convertImageVariants;src/iccFs/mF/convertImageVariants.py;6;3;convertRange
src.iccFs.mF.convertImageVariants:convertImageVariants;src.iccFs.syncCoreOverrides:syncCoreOverrides;src/iccFs/syncCoreOverrides.py;2;src.iccFs.convertRange:convertRange;src/iccFs/convertRange.py;4;9;syncCoreOverrides
src.iccFs.mF.convertRangeFiles._harmonizeSemanticSizeVariants:anchorRank;src.iccFs.mF.convertRangeFiles._harmonizeSemanticSizeVariants:anchorRank;src/iccFs/mF/convertRangeFiles/_harmonizeSemanticSizeVariants.py;0;;;59;;
src.iccFs.mF.convertRangeFiles._harmonizeSemanticSizeVariants:anchorRank;src.iccFs.mF.imageCompositeConverterCore:harmonizationAnchorPriority;src/iccFs/mF/imageCompositeConverterCore.py;1;src.iccFs.mF.convertRangeFiles._harmonizeSemanticSizeVariants:anchorRank;src/iccFs/mF/convertRangeFiles/_harmonizeSemanticSizeVariants.py;9807;64;harmonizationAnchorPriority
src.iccFs.mF.convertRangeFiles._inRequestedRangeFiles._extractRefParts:extractRefParts;src.iccFs.mF.convertRangeFiles._inRequestedRangeFiles._extractRefParts:extractRefParts;src/iccFs/mF/convertRangeFiles/_inRequestedRangeFiles/_extractRefParts.py;0;;;4;;
src.iccFs.mF.convertRangeFiles._inRequestedRangeFiles._matchesExactPrefixFilterFiles._normalizeRangeToken:normalizeRangeToken;src.iccFs.mF.convertRangeFiles._inRequestedRangeFiles._matchesExactPrefixFilterFiles._normalizeRangeToken:normalizeRangeToken;src/iccFs/mF/convertRangeFiles/_inRequestedRangeFiles/_matchesExactPrefixFilterFiles/_normalizeRangeToken.py;0;;;6;;
src.iccFs.mF.convertRangeFiles._inRequestedRangeFiles._matchesExactPrefixFilterFiles._normalizeRangeToken:normalizeRangeToken;src.iccFs.mF.convertRangeFiles._inRequestedRangeFiles.getBaseNameFromFile:getBaseNameFromFile;src/iccFs/mF/convertRangeFiles/_inRequestedRangeFiles/getBaseNameFromFile.py;1;src.iccFs.mF.convertRangeFiles._inRequestedRangeFiles._matchesExactPrefixFilterFiles._normalizeRangeToken:normalizeRangeToken;src/iccFs/mF/convertRangeFiles/_inRequestedRangeFiles/_matchesExactPrefixFilterFiles/_normalizeRangeToken.py;5;7;getBaseNameFromFile
src.iccFs.mF.convertRangeFiles._inRequestedRangeFiles._matchesPartialRangeTokenFiles._normalizeRangeToken:normalizeRangeToken;src.iccFs.mF.convertRangeFiles._inRequestedRangeFiles._matchesPartialRangeTokenFiles._normalizeRangeToken:normalizeRangeToken;src/iccFs/mF/convertRangeFiles/_inRequestedRangeFiles/_matchesPartialRangeTokenFiles/_normalizeRangeToken.py;0;;;6;;
src.iccFs.mF.convertRangeFiles._inRequestedRangeFiles._matchesPartialRangeTokenFiles._normalizeRangeToken:normalizeRangeToken;src.iccFs.mF.convertRangeFiles._inRequestedRangeFiles.getBaseNameFromFile:getBaseNameFromFile;src/iccFs/mF/convertRangeFiles/_inRequestedRangeFiles/getBaseNameFromFile.py;1;src.iccFs.mF.convertRangeFiles._inRequestedRangeFiles._matchesPartialRangeTokenFiles._normalizeRangeToken:normalizeRangeToken;src/iccFs/mF/convertRangeFiles/_inRequestedRangeFiles/_matchesPartialRangeTokenFiles/_normalizeRangeToken.py;5;7;getBaseNameFromFile
src.iccFs.mF.convertRangeFiles._inRequestedRangeFiles._matchesPartialRangeTokenFiles._sharedPartialRangeToken:sharedPartialRangeToken;src.iccFs.mF.convertRangeFiles._inRequestedRangeFiles._matchesPartialRangeTokenFiles._sharedPartialRangeToken:sharedPartialRangeToken;src/iccFs/mF/convertRangeFiles/_inRequestedRangeFiles/_matchesPartialRangeTokenFiles/_sharedPartialRangeToken.py;0;;;5;;
src.iccFs.mF.convertRangeFiles._inRequestedRangeFiles._matchesPartialRangeTokenFiles._sharedPartialRangeToken:sharedPartialRangeToken;src.iccFs.mF._promptInteractiveRangeFiles._sharedPartialRangeTokenFiles._compactRangeToken:compactRangeToken;src/iccFs/mF/_promptInteractiveRangeFiles/_sharedPartialRangeTokenFiles/_compactRangeToken.py;1;src.iccFs.mF.convertRangeFiles._inRequestedRangeFiles._matchesPartialRangeTokenFiles._sharedPartialRangeToken:sharedPartialRangeToken;src/iccFs/mF/convertRangeFiles/_inRequestedRangeFiles/_matchesPartialRangeTokenFiles/_sharedPartialRangeToken.py;1;8;compactRangeToken
src.iccFs.mF.convertRangeFiles._inRequestedRangeFiles._matchesPartialRangeTokenFiles._sharedPartialRangeToken:sharedPartialRangeToken;src.iccFs.mF._promptInteractiveRangeFiles._sharedPartialRangeTokenFiles._compactRangeTokenFiles._normalizeRangeToken:normalizeRangeToken;src/iccFs/mF/_promptInteractiveRangeFiles/_sharedPartialRangeTokenFiles/_compactRangeTokenFiles/_normalizeRangeToken.py;2;src.iccFs.mF._promptInteractiveRangeFiles._sharedPartialRangeTokenFiles._compactRangeToken:compactRangeToken;src/iccFs/mF/_promptInteractiveRangeFiles/_sharedPartialRangeTokenFiles/_compactRangeToken.py;1;2;normalizeRangeToken
src.iccFs.mF.convertRangeFiles._inRequestedRangeFiles._matchesPartialRangeTokenFiles._sharedPartialRangeToken:sharedPartialRangeToken;src.iccFs.mF.convertRangeFiles._inRequestedRangeFiles.getBaseNameFromFile:getBaseNameFromFile;src/iccFs/mF/convertRangeFiles/_inRequestedRangeFiles/getBaseNameFromFile.py;3;src.iccFs.mF._promptInteractiveRangeFiles._sharedPartialRangeTokenFiles._compactRangeTokenFiles._normalizeRangeToken:normalizeRangeToken;src/iccFs/mF/_promptInteractiveRangeFiles/_sharedPartialRangeTokenFiles/_compactRangeTokenFiles/_normalizeRangeToken.py;5;2;getBaseNameFromFile
src.iccFs.mF.convertRangeFiles._inRequestedRangeFiles._matchesPartialRangeTokenFiles._sharedPartialRangeToken:sharedPartialRangeToken;src.iccFs.mF._promptInteractiveRangeFiles._sharedPartialRangeTokenFiles._compactRangeToken:compactRangeToken;src/iccFs/mF/_promptInteractiveRangeFiles/_sharedPartialRangeTokenFiles/_compactRangeToken.py;1;src.iccFs.mF.convertRangeFiles._inRequestedRangeFiles._matchesPartialRangeTokenFiles._sharedPartialRangeToken:sharedPartialRangeToken;src/iccFs/mF/convertRangeFiles/_inRequestedRangeFiles/_matchesPartialRangeTokenFiles/_sharedPartialRangeToken.py;1;8;compactRangeToken
src.iccFs.mF.convertRangeFiles._inRequestedRangeFiles._matchesPartialRangeTokenFiles._sharedPartialRangeToken:sharedPartialRangeToken;src.iccFs.mF._promptInteractiveRangeFiles._sharedPartialRangeTokenFiles._compactRangeTokenFiles._normalizeRangeToken:normalizeRangeToken;src/iccFs/mF/_promptInteractiveRangeFiles/_sharedPartialRangeTokenFiles/_compactRangeTokenFiles/_normalizeRangeToken.py;2;src.iccFs.mF._promptInteractiveRangeFiles._sharedPartialRangeTokenFiles._compactRangeToken:compactRangeToken;src/iccFs/mF/_promptInteractiveRangeFiles/_sharedPartialRangeTokenFiles/_compactRangeToken.py;1;2;normalizeRangeToken
src.iccFs.mF.convertRangeFiles._inRequestedRangeFiles._matchesPartialRangeTokenFiles._sharedPartialRangeToken:sharedPartialRangeToken;src.iccFs.mF.convertRangeFiles._inRequestedRangeFiles.getBaseNameFromFile:getBaseNameFromFile;src/iccFs/mF/convertRangeFiles/_inRequestedRangeFiles/getBaseNameFromFile.py;3;src.iccFs.mF._promptInteractiveRangeFiles._sharedPartialRangeTokenFiles._compactRangeTokenFiles._normalizeRangeToken:normalizeRangeToken;src/iccFs/mF/_promptInteractiveRangeFiles/_sharedPartialRangeTokenFiles/_compactRangeTokenFiles/_normalizeRangeToken.py;5;2;getBaseNameFromFile
src.iccFs.mF.convertRangeFiles._inRequestedRangeFiles._matchesPartialRangeTokenFiles._sharedPartialRangeToken:sharedPartialRangeToken;src.iccFs.mF._promptInteractiveRangeFiles._sharedPartialRangeTokenFiles._compactRangeTokenFiles._normalizeRangeToken:normalizeRangeToken;src/iccFs/mF/_promptInteractiveRangeFiles/_sharedPartialRangeTokenFiles/_compactRangeTokenFiles/_normalizeRangeToken.py;1;src.iccFs.mF.convertRangeFiles._inRequestedRangeFiles._matchesPartialRangeTokenFiles._sharedPartialRangeToken:sharedPartialRangeToken;src/iccFs/mF/convertRangeFiles/_inRequestedRangeFiles/_matchesPartialRangeTokenFiles/_sharedPartialRangeToken.py;1;6;normalizeRangeToken
src.iccFs.mF.convertRangeFiles._inRequestedRangeFiles._matchesPartialRangeTokenFiles._sharedPartialRangeToken:sharedPartialRangeToken;src.iccFs.mF.convertRangeFiles._inRequestedRangeFiles.getBaseNameFromFile:getBaseNameFromFile;src/iccFs/mF/convertRangeFiles/_inRequestedRangeFiles/getBaseNameFromFile.py;2;src.iccFs.mF._promptInteractiveRangeFiles._sharedPartialRangeTokenFiles._compactRangeTokenFiles._normalizeRangeToken:normalizeRangeToken;src/iccFs/mF/_promptInteractiveRangeFiles/_sharedPartialRangeTokenFiles/_compactRangeTokenFiles/_normalizeRangeToken.py;5;2;getBaseNameFromFile
src.iccFs.mF.convertRangeFiles._inRequestedRangeFiles._matchesPartialRangeTokenFiles._sharedPartialRangeToken:sharedPartialRangeToken;src.iccFs.mF._promptInteractiveRangeFiles._sharedPartialRangeTokenFiles._compactRangeTokenFiles._normalizeRangeToken:normalizeRangeToken;src/iccFs/mF/_promptInteractiveRangeFiles/_sharedPartialRangeTokenFiles/_compactRangeTokenFiles/_normalizeRangeToken.py;1;src.iccFs.mF.convertRangeFiles._inRequestedRangeFiles._matchesPartialRangeTokenFiles._sharedPartialRangeToken:sharedPartialRangeToken;src/iccFs/mF/convertRangeFiles/_inRequestedRangeFiles/_matchesPartialRangeTokenFiles/_sharedPartialRangeToken.py;1;6;normalizeRangeToken
src.iccFs.mF.convertRangeFiles._inRequestedRangeFiles._matchesPartialRangeTokenFiles._sharedPartialRangeToken:sharedPartialRangeToken;src.iccFs.mF.convertRangeFiles._inRequestedRangeFiles.getBaseNameFromFile:getBaseNameFromFile;src/iccFs/mF/convertRangeFiles/_inRequestedRangeFiles/getBaseNameFromFile.py;2;src.iccFs.mF._promptInteractiveRangeFiles._sharedPartialRangeTokenFiles._compactRangeTokenFiles._normalizeRangeToken:normalizeRangeToken;src/iccFs/mF/_promptInteractiveRangeFiles/_sharedPartialRangeTokenFiles/_compactRangeTokenFiles/_normalizeRangeToken.py;5;2;getBaseNameFromFile
src.iccFs.mF.convertRangeFiles._inRequestedRangeFiles._matchesPartialRangeTokenFiles._sharedPartialRangeTokenFiles._compactRangeToken:compactRangeToken;src.iccFs.mF.convertRangeFiles._inRequestedRangeFiles._matchesPartialRangeTokenFiles._sharedPartialRangeTokenFiles._compactRangeToken:compactRangeToken;src/iccFs/mF/convertRangeFiles/_inRequestedRangeFiles/_matchesPartialRangeTokenFiles/_sharedPartialRangeTokenFiles/_compactRangeToken.py;0;;;6;;
src.iccFs.mF.convertRangeFiles._inRequestedRangeFiles._matchesPartialRangeTokenFiles._sharedPartialRangeTokenFiles._compactRangeToken:compactRangeToken;src.iccFs.mF._promptInteractiveRangeFiles._sharedPartialRangeTokenFiles._compactRangeTokenFiles._normalizeRangeToken:normalizeRangeToken;src/iccFs/mF/_promptInteractiveRangeFiles/_sharedPartialRangeTokenFiles/_compactRangeTokenFiles/_normalizeRangeToken.py;1;src.iccFs.mF.convertRangeFiles._inRequestedRangeFiles._matchesPartialRangeTokenFiles._sharedPartialRangeTokenFiles._compactRangeToken:compactRangeToken;src/iccFs/mF/convertRangeFiles/_inRequestedRangeFiles/_matchesPartialRangeTokenFiles/_sharedPartialRangeTokenFiles/_compactRangeToken.py;1;7;normalizeRangeToken
src.iccFs.mF.convertRangeFiles._inRequestedRangeFiles._matchesPartialRangeTokenFiles._sharedPartialRangeTokenFiles._compactRangeToken:compactRangeToken;src.iccFs.mF.convertRangeFiles._inRequestedRangeFiles.getBaseNameFromFile:getBaseNameFromFile;src/iccFs/mF/convertRangeFiles/_inRequestedRangeFiles/getBaseNameFromFile.py;2;src.iccFs.mF._promptInteractiveRangeFiles._sharedPartialRangeTokenFiles._compactRangeTokenFiles._normalizeRangeToken:normalizeRangeToken;src/iccFs/mF/_promptInteractiveRangeFiles/_sharedPartialRangeTokenFiles/_compactRangeTokenFiles/_normalizeRangeToken.py;5;2;getBaseNameFromFile
src.iccFs.mF.convertRangeFiles._inRequestedRangeFiles._matchesPartialRangeTokenFiles._sharedPartialRangeTokenFiles._compactRangeTokenFiles._normalizeRangeToken:normalizeRangeToken;src.iccFs.mF.convertRangeFiles._inRequestedRangeFiles._matchesPartialRangeTokenFiles._sharedPartialRangeTokenFiles._compactRangeTokenFiles._normalizeRangeToken:normalizeRangeToken;src/iccFs/mF/convertRangeFiles/_inRequestedRangeFiles/_matchesPartialRangeTokenFiles/_sharedPartialRangeTokenFiles/_compactRangeTokenFiles/_normalizeRangeToken.py;0;;;1;;
src.iccFs.mF.convertRangeFiles._inRequestedRangeFiles._matchesPartialRangeTokenFiles._sharedPartialRangeTokenFiles._compactRangeTokenFiles._normalizeRangeToken:normalizeRangeToken;src.iccFs.mF.convertRangeFiles._inRequestedRangeFiles.getBaseNameFromFile:getBaseNameFromFile;src/iccFs/mF/convertRangeFiles/_inRequestedRangeFiles/getBaseNameFromFile.py;1;src.iccFs.mF.convertRangeFiles._inRequestedRangeFiles._matchesPartialRangeTokenFiles._sharedPartialRangeTokenFiles._compactRangeTokenFiles._normalizeRangeToken:normalizeRangeToken;src/iccFs/mF/convertRangeFiles/_inRequestedRangeFiles/_matchesPartialRangeTokenFiles/_sharedPartialRangeTokenFiles/_compactRangeTokenFiles/_normalizeRangeToken.py;5;2;getBaseNameFromFile
src.iccFs.mF.convertRangeFiles._inRequestedRangeFiles._matchesPartialRangeTokenFiles._sharedPartialRangeTokenFiles._normalizeRangeToken:normalizeRangeToken;src.iccFs.mF.convertRangeFiles._inRequestedRangeFiles._matchesPartialRangeTokenFiles._sharedPartialRangeTokenFiles._normalizeRangeToken:normalizeRangeToken;src/iccFs/mF/convertRangeFiles/_inRequestedRangeFiles/_matchesPartialRangeTokenFiles/_sharedPartialRangeTokenFiles/_normalizeRangeToken.py;0;;;1;;
src.iccFs.mF.convertRangeFiles._inRequestedRangeFiles._matchesPartialRangeTokenFiles._sharedPartialRangeTokenFiles._normalizeRangeToken:normalizeRangeToken;src.iccFs.mF.convertRangeFiles._inRequestedRangeFiles.getBaseNameFromFile:getBaseNameFromFile;src/iccFs/mF/convertRangeFiles/_inRequestedRangeFiles/getBaseNameFromFile.py;1;src.iccFs.mF.convertRangeFiles._inRequestedRangeFiles._matchesPartialRangeTokenFiles._sharedPartialRangeTokenFiles._normalizeRangeToken:normalizeRangeToken;src/iccFs/mF/convertRangeFiles/_inRequestedRangeFiles/_matchesPartialRangeTokenFiles/_sharedPartialRangeTokenFiles/_normalizeRangeToken.py;5;2;getBaseNameFromFile
src.iccFs.mF.convertRangeFiles._loadExistingConversionRowsFiles._convertedSvgOutputDir:convertedSvgOutputDir;src.iccFs.mF.convertRangeFiles._loadExistingConversionRowsFiles._convertedSvgOutputDir:convertedSvgOutputDir;src/iccFs/mF/convertRangeFiles/_loadExistingConversionRowsFiles/_convertedSvgOutputDir.py;0;;;1;;
src.iccFs.mF.convertRangeFiles._loadExistingConversionRowsFiles._readSvgGeometry:readSvgGeometry;src.iccFs.mF.convertRangeFiles._loadExistingConversionRowsFiles._readSvgGeometry:readSvgGeometry;src/iccFs/mF/convertRangeFiles/_loadExistingConversionRowsFiles/_readSvgGeometry.py;0;;;1;;
src.iccFs.mF.convertRangeFiles._loadExistingConversionRowsFiles._readSvgGeometry:readSvgGeometry;src.iccFs.mF.convertRangeFiles._loadExistingConversionRowsFiles._readSvgGeometry:grayFromHex;src/iccFs/mF/convertRangeFiles/_loadExistingConversionRowsFiles/_readSvgGeometry.py;1;src.iccFs.mF.convertRangeFiles._loadExistingConversionRowsFiles._readSvgGeometry:readSvgGeometry;src/iccFs/mF/convertRangeFiles/_loadExistingConversionRowsFiles/_readSvgGeometry.py;13;117;grayFromHex
src.iccFs.mF.convertRangeFiles._loadExistingConversionRowsFiles._readSvgGeometry:readSvgGeometry;src.iccFs.mF.convertRangeFiles._loadExistingConversionRowsFiles._readSvgGeometry:grayFromHex;src/iccFs/mF/convertRangeFiles/_loadExistingConversionRowsFiles/_readSvgGeometry.py;1;src.iccFs.mF.convertRangeFiles._loadExistingConversionRowsFiles._readSvgGeometry:readSvgGeometry;src/iccFs/mF/convertRangeFiles/_loadExistingConversionRowsFiles/_readSvgGeometry.py;13;117;grayFromHex
src.iccFs.mF.convertRangeFiles._loadExistingConversionRowsFiles._readSvgGeometry:readSvgGeometry;src.iccFs.mF.convertRangeFiles._loadExistingConversionRowsFiles._readSvgGeometry:grayFromHex;src/iccFs/mF/convertRangeFiles/_loadExistingConversionRowsFiles/_readSvgGeometry.py;1;src.iccFs.mF.convertRangeFiles._loadExistingConversionRowsFiles._readSvgGeometry:readSvgGeometry;src/iccFs/mF/convertRangeFiles/_loadExistingConversionRowsFiles/_readSvgGeometry.py;13;117;grayFromHex
src.iccFs.mF.convertRangeFiles._loadExistingConversionRowsFiles._readSvgGeometry:readSvgGeometry;src.iccFs.mF.convertRangeFiles._loadExistingConversionRowsFiles._readSvgGeometry:grayFromHex;src/iccFs/mF/convertRangeFiles/_loadExistingConversionRowsFiles/_readSvgGeometry.py;1;src.iccFs.mF.convertRangeFiles._loadExistingConversionRowsFiles._readSvgGeometry:readSvgGeometry;src/iccFs/mF/convertRangeFiles/_loadExistingConversionRowsFiles/_readSvgGeometry.py;13;117;grayFromHex
src.iccFs.mF.convertRangeFiles._loadExistingConversionRowsFiles._readSvgGeometry:readSvgGeometry;src.iccFs.mF.convertRangeFiles._loadExistingConversionRowsFiles._readSvgGeometry:grayFromHex;src/iccFs/mF/convertRangeFiles/_loadExistingConversionRowsFiles/_readSvgGeometry.py;1;src.iccFs.mF.convertRangeFiles._loadExistingConversionRowsFiles._readSvgGeometry:readSvgGeometry;src/iccFs/mF/convertRangeFiles/_loadExistingConversionRowsFiles/_readSvgGeometry.py;13;117;grayFromHex
src.iccFs.mF.convertRangeFiles._renderEmbeddedRasterSvgFiles._sniffRasterSize:sniffRasterSize;src.iccFs.mF.convertRangeFiles._renderEmbeddedRasterSvgFiles._sniffRasterSize:sniffRasterSize;src/iccFs/mF/convertRangeFiles/_renderEmbeddedRasterSvgFiles/_sniffRasterSize.py;0;;;1;;
src.iccFs.mF.convertRangeFiles._reportsOutputDir:reportsOutputDir;src.iccFs.mF.convertRangeFiles._reportsOutputDir:reportsOutputDir;src/iccFs/mF/convertRangeFiles/_reportsOutputDir.py;0;;;1;;
src.iccFs.mF.convertRangeFiles._tryTemplateTransferFiles._estimateTemplateTransferScaleFiles._buildTransformedSvgFromTemplate:buildTransformedSvgFromTemplate;src.iccFs.mF.convertRangeFiles._tryTemplateTransferFiles._estimateTemplateTransferScaleFiles._buildTransformedSvgFromTemplate:buildTransformedSvgFromTemplate;src/iccFs/mF/convertRangeFiles/_tryTemplateTransferFiles/_estimateTemplateTransferScaleFiles/_buildTransformedSvgFromTemplate.py;0;;;1;;
src.iccFs.mF.convertRangeFiles._tryTemplateTransferFiles._estimateTemplateTransferScaleFiles._buildTransformedSvgFromTemplate:buildTransformedSvgFromTemplate;src.iccFs.mF.convertRangeFiles._tryTemplateTransferFiles._buildTransformedSvgFromTemplateFiles._extractSvgInner:extractSvgInner;src/iccFs/mF/convertRangeFiles/_tryTemplateTransferFiles/_buildTransformedSvgFromTemplateFiles/_extractSvgInner.py;1;src.iccFs.mF.convertRangeFiles._tryTemplateTransferFiles._estimateTemplateTransferScaleFiles._buildTransformedSvgFromTemplate:buildTransformedSvgFromTemplate;src/iccFs/mF/convertRangeFiles/_tryTemplateTransferFiles/_estimateTemplateTransferScaleFiles/_buildTransformedSvgFromTemplate.py;1;9;extractSvgInner
