Action._element_error_for_circle_radius;Action._elementErrorForCircleRadius
Action._enforce_left_arm_badge_geometry;Action._enforceLeftArmBadgeGeometry
Action._estimate_border_background_gray;Action._estimateBorderBackgroundGray
Action._max_circle_radius_inside_canvas;Action._maxCircleRadiusInsideCanvas
Action._optimize_circle_pose_multistart;Action._optimizeCirclePoseMultistart
Action._optimize_element_extent_bracket;Action._optimizeElementExtentBracket
Action._refine_stem_geometry_from_masks;Action._refineStemGeometryFromMasks
Action._rotate_semantic_badge_clockwise;Action._rotateSemanticBadgeClockwise
Action._tune_ac08_left_connector_family;Action._tuneAc08LeftConnectorFamily
_restore_successful_conversion_snapshot;_restoreSuccessfulConversionSnapshot
_template_transfer_transform_candidates;_templateTransferTransformCandidates
Action._apply_circle_text_radius_floor;Action._applyCircleTextRadiusFloor
Action._capture_canonical_badge_colors;Action._captureCanonicalBadgeColors
Action._global_parameter_vector_bounds;Action._globalParameterVectorBounds
Action._optimize_circle_center_bracket;Action._optimizeCircleCenterBracket
Action._optimize_circle_radius_bracket;Action._optimizeCircleRadiusBracket
Action._optimize_element_color_bracket;Action._optimizeElementColorBracket
Action._optimize_element_width_bracket;Action._optimizeElementWidthBracket
Action._persist_connector_length_floor;Action._persistConnectorLengthFloor
Action._stabilize_semantic_circle_pose;Action._stabilizeSemanticCirclePose
_summarize_previous_good_ac08_variants;_summarizePreviousGoodAc08Variants
_write_successful_conversion_csv_table;_writeSuccessfulConversionCsvTable
Action._element_error_for_circle_pose;Action._elementErrorForCirclePose
Action._fit_semantic_badge_from_image;Action._fitSemanticBadgeFromImage
Action._normalize_light_circle_colors;Action._normalizeLightCircleColors
GlobalParameterVector.apply_to_params;GlobalParameterVector.applyToParams
_store_successful_conversion_snapshot;_storeSuccessfulConversionSnapshot
_successful_conversion_snapshot_paths;_successfulConversionSnapshotPaths
_write_ac08_weak_family_status_report;_writeAc08WeakFamilyStatusReport
Action._activate_ac08_adaptive_locks;Action._activateAc08AdaptiveLocks
Action._apply_canonical_badge_colors;Action._applyCanonicalBadgeColors
Action._apply_element_alignment_step;Action._applyElementAlignmentStep
Action._element_width_key_and_bounds;Action._elementWidthKeyAndBounds
Action._fit_ac0810_params_from_image;Action._fitAc0810ParamsFromImage
Action._fit_ac0811_params_from_image;Action._fitAc0811ParamsFromImage
Action._fit_ac0812_params_from_image;Action._fitAc0812ParamsFromImage
Action._fit_ac0813_params_from_image;Action._fitAc0813ParamsFromImage
Action._fit_ac0814_params_from_image;Action._fitAc0814ParamsFromImage
Action._fit_ac0870_params_from_image;Action._fitAc0870ParamsFromImage
Action._normalize_centered_co2_label;Action._normalizeCenteredCo2Label
Action._semantic_presence_mismatches;Action._semanticPresenceMismatches
Action._tune_ac08_circle_text_family;Action._tuneAc08CircleTextFamily
_build_transformed_svg_from_template;_buildTransformedSvgFromTemplate
_merge_successful_conversion_metrics;_mergeSuccessfulConversionMetrics
_missing_required_image_dependencies;_missingRequiredImageDependencies
Action._align_stem_to_circle_center;Action._alignStemToCircleCenter
Action._circle_from_foreground_mask;Action._circleFromForegroundMask
Action._full_badge_error_for_params;Action._fullBadgeErrorForParams
Action._log_global_parameter_vector;Action._logGlobalParameterVector
Action._reanchor_arm_to_circle_edge;Action._reanchorArmToCircleEdge
Action._release_ac08_adaptive_locks;Action._releaseAc08AdaptiveLocks
_describe_optional_dependency_error;_describeOptionalDependencyError
_render_svg_to_numpy_via_subprocess;_renderSvgToNumpyViaSubprocess
_semantic_transfer_scale_candidates;_semanticTransferScaleCandidates
_successful_conversion_snapshot_dir;_successfulConversionSnapshotDir
_template_transfer_scale_candidates;_templateTransferScaleCandidates
_write_ac08_success_criteria_report;_writeAc08SuccessCriteriaReport
Action._clamp_circle_inside_canvas;Action._clampCircleInsideCanvas
Action._detect_semantic_primitives;Action._detectSemanticPrimitives
Action._expected_semantic_presence;Action._expectedSemanticPresence
Action._masked_union_error_in_bbox;Action._maskedUnionErrorInBbox
Action._normalize_ac08_line_widths;Action._normalizeAc08LineWidths
Action._stochastic_survivor_scalar;Action._stochasticSurvivorScalar
_load_description_mapping_from_csv;_loadDescriptionMappingFromCsv
_load_description_mapping_from_xml;_loadDescriptionMappingFromXml
_needs_large_circle_overflow_guard;_needsLargeCircleOverflowGuard
Action._mask_min_rect_center_diag;Action._maskMinRectCenterDiag
Action.extract_badge_element_mask;Action.extractBadgeElementMask
Action.validate_badge_by_elements;Action.validateBadgeByElements
GlobalParameterVector.from_params;GlobalParameterVector.fromParams
_estimate_template_transfer_scale;_estimateTemplateTransferScale
_harmonize_semantic_size_variants;_harmonizeSemanticSizeVariants
Action._element_error_for_extent;Action._elementErrorForExtent
_evaluate_quality_pass_candidate;_evaluateQualityPassCandidate
_semantic_transfer_is_compatible;_semanticTransferIsCompatible
Action._element_error_for_color;Action._elementErrorForColor
Action._element_error_for_width;Action._elementErrorForWidth
_default_converted_symbols_root;_defaultConvertedSymbolsRoot
_family_harmonized_badge_colors;_familyHarmonizedBadgeColors
_semantic_transfer_badge_params;_semanticTransferBadgeParams
_write_ac08_regression_manifest;_writeAc08RegressionManifest
_collect_description_fragments;_collectDescriptionFragments
_create_diff_image_without_cv2;_createDiffImageWithoutCv2
_harmonization_anchor_priority;_harmonizationAnchorPriority
_import_with_vendored_fallback;_importWithVendoredFallback
_load_existing_conversion_rows;_loadExistingConversionRows
_normalized_geometry_signature;_normalizedGeometrySignature
_rank_template_transfer_donors;_rankTemplateTransferDonors
_render_svg_to_numpy_inprocess;_renderSvgToNumpyInprocess
_resolve_optional_dependencies;_resolveOptionalDependencies
Action._default_ac0810_params;Action._defaultAc0810Params
Action._default_ac0811_params;Action._defaultAc0811Params
Action._default_ac0812_params;Action._defaultAc0812Params
Action._default_ac0813_params;Action._defaultAc0813Params
Action._default_ac0814_params;Action._defaultAc0814Params
Action._default_ac081x_shared;Action._defaultAc081xShared
Action._default_ac0834_params;Action._defaultAc0834Params
Action._default_ac0870_params;Action._defaultAc0870Params
Action._default_ac0881_params;Action._defaultAc0881Params
Action._default_ac0882_params;Action._defaultAc0882Params
Action._is_ac08_small_variant;Action._isAc08SmallVariant
Action._quantize_badge_params;Action._quantizeBadgeParams
Action._tune_ac0831_co2_badge;Action._tuneAc0831Co2Badge
Action._tune_ac0832_co2_badge;Action._tuneAc0832Co2Badge
Action._tune_ac0833_co2_badge;Action._tuneAc0833Co2Badge
Action._tune_ac0834_co2_badge;Action._tuneAc0834Co2Badge
Action._tune_ac0835_voc_badge;Action._tuneAc0835VocBadge
Action._union_bbox_from_masks;Action._unionBboxFromMasks
Action.apply_redraw_variation;Action.applyRedrawVariation
Action.calculate_delta2_stats;Action.calculateDelta2Stats
Action.generate_composite_svg;Action.generateCompositeSvg
Perception._load_descriptions;Perception._loadDescriptions
_is_semantic_template_variant;_isSemanticTemplateVariant
_optional_dependency_base_dir;_optionalDependencyBaseDir
_resolve_description_xml_path;_resolveDescriptionXmlPath
generate_conversion_overviews;generateConversionOverviews
Action._fit_to_original_size;Action._fitToOriginalSize
Action._mask_centroid_radius;Action._maskCentroidRadius
Action._mask_supports_circle;Action._maskSupportsCircle
Reflection.parse_description;Reflection.parseDescription
_build_ac08_regression_cases;_buildAc08RegressionCases
_clear_partial_module_import;_clearPartialModuleImport
_iteration_strategy_for_pass;_iterationStrategyForPass
_load_successful_conversions;_loadSuccessfulConversions
_matches_exact_prefix_filter;_matchesExactPrefixFilter
_matches_partial_range_token;_matchesPartialRangeToken
_read_validation_log_details;_readValidationLogDetails
_select_middle_lower_tercile;_selectMiddleLowerTercile
_semantic_transfer_rotations;_semanticTransferRotations
_vendored_site_packages_dirs;_vendoredSitePackagesDirs
_write_batch_failure_summary;_writeBatchFailureSummary
_write_semantic_audit_report;_writeSemanticAuditReport
detect_relevant_regions_impl;detectRelevantRegionsImpl
optional_dependency_base_dir;optionalDependencyBaseDir
Action._element_match_error;Action._elementMatchError
Action._element_only_params;Action._elementOnlyParams
Action._element_region_mask;Action._elementRegionMask
Action._finalize_ac08_style;Action._finalizeAc08Style
Action._is_circle_with_text;Action._isCircleWithText
Action._ring_and_fill_masks;Action._ringAndFillMasks
_find_image_path_by_variant;_findImagePathByVariant
_module_call_edges_for_path;_moduleCallEdgesForPath
_render_embedded_raster_svg;_renderEmbeddedRasterSvg
_shared_partial_range_token;_sharedPartialRangeToken
_write_pixel_delta2_ranking;_writePixelDelta2Ranking
annotate_image_regions_impl;annotateImageRegionsImpl
create_tiled_overview_image;createTiledOverviewImage
load_binary_image_with_mode;loadBinaryImageWithMode
vendored_site_packages_dirs;vendoredSitePackagesDirs
Action._element_color_keys;Action._elementColorKeys
Action._mean_gray_for_mask;Action._meanGrayForMask
Action.render_svg_to_numpy;Action.renderSvgToNumpy
Action.trace_image_segment;Action.traceImageSegment
_select_open_quality_cases;_selectOpenQualityCases
_write_quality_pass_report;_writeQualityPassReport
decompose_circle_with_stem;decomposeCircleWithStem
Action._center_glyph_bbox;Action._centerGlyphBbox
Action.generate_badge_svg;Action.generateBadgeSvg
_connector_stem_direction;_connectorStemDirection
_converted_svg_output_dir;_convertedSvgOutputDir
_required_vendor_packages;_requiredVendorPackages
create_tiled_overview_svg;createTiledOverviewSvg
Action._mask_center_size;Action._maskCenterSize
Action.create_diff_image;Action.createDiffImage
Action.make_badge_params;Action.makeBadgeParams
_connector_arm_direction;_connectorArmDirection
_load_iteration_log_rows;_loadIterationLogRows
_snake_to_camel_filename;_snakeToCamelFilename
Action._apply_co2_label;Action._applyCo2Label
Action._apply_voc_label;Action._applyVocLabel
Action._foreground_mask;Action._foregroundMask
_compute_otsu_threshold;_computeOtsuThreshold
_load_mainfile_function;_loadMainfileFunction
_semantic_quality_flags;_semanticQualityFlags
detect_relevant_regions;detectRelevantRegions
get_base_name_from_file;getBaseNameFromFile
Action.calculate_error;Action.calculateError
_extract_symbol_family;_extractSymbolFamily
_normalize_range_token;_normalizeRangeToken
_semantic_audit_record;_semanticAuditRecord
_try_template_transfer;_tryTemplateTransfer
annotate_image_regions;annotateImageRegions
run_iteration_pipeline;runIterationPipeline
Action._circle_bounds;Action._circleBounds
_auto_detect_csv_path;_autoDetectCsvPath
_load_optional_module;_loadOptionalModule
_write_quality_config;_writeQualityConfig
estimate_stroke_style;estimateStrokeStyle
render_candidate_mask;renderCandidateMask
Action._argmin_index;Action._argminIndex
Action._masked_error;Action._maskedError
_compact_range_token;_compactRangeToken
_load_quality_config;_loadQualityConfig
_max_signature_delta;_maxSignatureDelta
_quality_config_path;_qualityConfigPath
build_oriented_kelle;buildOrientedKelle
load_grayscale_image;loadGrayscaleImage
load_optional_module;loadOptionalModule
Action._clip_scalar;Action._clipScalar
Action._snap_int_px;Action._snapIntPx
_adaptive_threshold;_adaptiveThreshold
_extract_svg_bounds;_extractSvgBounds
_in_requested_range;_inRequestedRange
_reports_output_dir;_reportsOutputDir
_scale_badge_params;_scaleBadgeParams
_svg_href_mime_type;_svgHrefMimeType
sync_core_overrides;syncCoreOverrides
Action._co2_layout;Action._co2Layout
Action._glyph_bbox;Action._glyphBbox
_conversion_random;_conversionRandom
_extract_ref_parts;_extractRefParts
_extract_svg_inner;_extractSvgInner
_extract_svg_inner;_extractSvgInner
_read_svg_geometry;_readSvgGeometry
_sniff_raster_size;_sniffRasterSize
analyze_range_impl;analyzeRangeImpl
Action._mask_bbox;Action._maskBbox
Action._snap_half;Action._snapHalf
Action._text_bbox;Action._textBbox
_dotted_attr_name;_dottedAttrName
_quality_sort_key;_qualitySortKey
Action._make_rng;Action._makeRng
_diff_output_dir;_diffOutputDir
candidate_to_svg;candidateToSvg
optimize_element;optimizeElement
random_neighbor;randomNeighbor
score_candidate;scoreCandidate
RGBWert.to_hex;RGBWert.toHex
_read_svg_text;_readSvgText
_bbox_to_dict;_bboxToDict
_read_preview;_readPreview
convert_range;convertRange
Kelle.to_svg;Kelle.toSvg
_expand_bbox;_expandBbox
_gray_to_hex;_grayToHex
_read_raster;_readRaster
_render_svg;_renderSvg
_clip_gray;_clipGray
rgb_to_hex;rgbToHex
